               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069793,            0.075461,            0.020559,              0.5145,             0.61513,             0.55631,              0.2816,            0.046859,            0.050289,            0.010038,            0.070055,           0.0033272,           0.0033272
                   1,            0.050401,             0.06666,            0.008576,              0.7155,             0.72891,             0.76161,             0.45439,            0.037262,            0.045713,           0.0061981,            0.039923,           0.0065286,           0.0065286
                   2,            0.043952,            0.062469,           0.0065301,             0.79273,             0.76854,             0.82485,             0.53061,            0.029963,            0.043672,           0.0046248,           0.0096595,           0.0095981,           0.0095981
                   3,            0.038106,            0.060781,           0.0056944,             0.82023,             0.78642,             0.85062,             0.59217,            0.027291,            0.041827,           0.0038157,            0.009406,            0.009406,            0.009406
                   4,            0.034343,            0.059314,           0.0050572,             0.80354,             0.78765,             0.84977,             0.60114,            0.024151,            0.041285,           0.0037588,            0.009406,            0.009406,            0.009406
                   5,            0.032394,            0.058458,           0.0047192,             0.80758,              0.8047,              0.8646,             0.61731,            0.023476,            0.040177,           0.0032235,            0.009208,            0.009208,            0.009208
                   6,            0.030899,            0.057303,           0.0044983,             0.81918,             0.79927,             0.86477,             0.63009,            0.022832,            0.039817,           0.0031258,             0.00901,             0.00901,             0.00901
                   7,            0.029254,            0.056512,           0.0042916,             0.81772,             0.79715,             0.86633,             0.63306,            0.022162,            0.039285,           0.0033522,            0.008812,            0.008812,            0.008812
                   8,            0.028928,            0.055777,           0.0041609,             0.80274,             0.81065,              0.8657,             0.64109,            0.021544,            0.038961,           0.0030864,            0.008614,            0.008614,            0.008614
                   9,            0.027927,            0.055116,           0.0039885,             0.81781,             0.80431,             0.87068,             0.65245,            0.020432,            0.037915,           0.0029179,            0.008416,            0.008416,            0.008416
                  10,            0.027091,            0.054624,           0.0038525,             0.80989,             0.80281,             0.86944,             0.65744,            0.020152,            0.037916,           0.0029295,            0.008218,            0.008218,            0.008218
                  11,            0.026473,            0.053106,           0.0037739,             0.81369,             0.80838,             0.87292,             0.66273,            0.019887,            0.037398,           0.0029602,             0.00802,             0.00802,             0.00802
                  12,            0.026022,            0.053603,           0.0037037,              0.8095,              0.8112,             0.87207,             0.66616,            0.019963,            0.037198,           0.0027217,            0.007822,            0.007822,            0.007822
                  13,            0.025404,            0.052929,           0.0035958,             0.81748,             0.81433,             0.87641,             0.67175,            0.019803,            0.036832,           0.0026892,            0.007624,            0.007624,            0.007624
                  14,            0.025064,            0.051573,           0.0034749,             0.80652,             0.81887,             0.87587,             0.67107,            0.019241,            0.036527,           0.0027766,            0.007426,            0.007426,            0.007426
